Respondent,Timestamp,Which track do you participate in?,How Often Do You Participate,Question,Answer,Numeric Answer
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What else do you want us to know?,Enjoy completing the challenges as I have time and as they pertain to use cases I do it may enclose work.,
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),,7
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Extensions,4
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Extensions,2
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Containers,1
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,I enjoy learning about new features,Agree,4
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,The challenges are too easy,Disagree,2
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,The challenges help me at work/school,Agree,4
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,Which track do you participate in?,Both,
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10005,2021/07/27 6:25:02 PM MDT,Both,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What else do you want us to know?,I like to do one challenge in spanish 😊😁 i love the wow,
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,I would be more likely to participate in WOW challenges if they were,Bi-Weekly,
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,I want more cross-over with other software and/or platforms,Strongly Agree,5
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (7th),,7
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (6th),LODs,6
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,I enjoy learning about new features,Strongly Agree,5
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,The challenges are too easy,Neither Agree nor Disagree,3
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,The challenges are too difficult,Neither Agree nor Disagree,3
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,The challenges help me at work/school,Agree,4
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,How Often Do You Participate,Every challenge,
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,Which track do you participate in?,Both,
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10006,2021/07/27 6:33:49 PM MDT,Both,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,The ranking question is missing a '5th' option,
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Disagree,2
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Mapping,4
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Containers,3
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Agree,4
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Neither Agree nor Disagree,3
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Strongly Agree,5
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10007,2021/07/27 11:19:57 PM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What else do you want us to know?,I think there's fantastic mix of challenges - occasionally when one is totally beyond me the video solution is a good assist and the ability to download and reverse engineer the Tableau workbooks. I've learned so much and continue to learn so much from doing the challenges - thank you to all for your willingness to teach and inspire.,
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),,7
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Power Query,5
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,I enjoy learning about new features,Strongly Agree,5
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,The challenges are too easy,Disagree,2
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,The challenges are too difficult,Disagree,2
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,The challenges help me at work/school,Strongly Agree,5
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,Which track do you participate in?,Both,
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10008,2021/07/28 12:42:28 AM MDT,Both,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Likely,
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Monthly,
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Agree,4
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Extensions,2
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10009,2021/07/28 1:29:04 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Less Likely,
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What else do you want us to know?,,
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,I want more cross-over with other software and/or platforms,Agree,4
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),,7
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Mapping,6
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Containers,5
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Unusual Chart Types,2
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Power Query,1
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,I enjoy learning about new features,Strongly Agree,5
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,The challenges are too easy,Disagree,2
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,The challenges are too difficult,Strongly Disagree,1
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,The challenges help me at work/school,Agree,4
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,Which track do you participate in?,PBI,
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
10010,2021/07/28 1:53:49 AM MDT,PBI,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Bi-Weekly,
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Containers,3
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Strongly Agree,5
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10011,2021/07/28 3:21:20 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Less Likely,
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,Thanks for keeping it going!,
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Agree,4
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,9,9
10012,2021/07/28 3:21:47 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Disagree,2
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Containers,4
